example address,earliest block,latest block,gas used,code length,code chunks,push bytes,jumpdests,invalid jumpdests,scheme f11,scheme f10,scheme f9,scheme f8
total,17000000,19824417,57208510885591,11785831,368308,40.98%,3.10%,0.07%,13376,13079,13191,12919
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17000000,19824417,5946933868226,3124,98,49.52%,2.05%,0.16%,9,8,8,7
0x00001bea43608c5ee487f82b773af8bd7cb20a6f,17000000,19824417,5131665370837,11293,353,52.43%,2.33%,0.03%,5,4,5,5
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,17217877,19824417,4718970109306,17958,562,52.93%,2.90%,0.05%,21,20,21,18
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,17000000,19824417,2810937568904,21943,686,49.76%,2.13%,0.00%,2,2,3,2
0x32400084c286cf3e17e7b677ea9583e60a000324,17000000,19824416,2354717117223,4247,133,29.20%,2.45%,0,0,0,0,0
0xdac17f958d2ee523a2206206994597c13d831ec7,17000000,19824417,1614236554795,11075,347,55.75%,2.13%,0.05%,11,10,11,9
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,17000000,19824417,1526617338628,2186,69,61.39%,3.16%,0.14%,6,5,5,5
0x000042ce27f2a2f45396f35622da3a8c2085944a,17287155,19824416,1356751866718,2227,70,43.15%,4.27%,0.04%,3,3,3,2
0x06450dee7fd2fb8e39061434babcfc05599a6fb8,17000000,19824411,1297455555071,10386,325,39.75%,3.60%,0.16%,21,20,22,22
0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,17000000,19824404,1201349201102,17465,546,53.01%,3.90%,0.02%,10,10,9,10
0x1111111254eeb25477b68fb85ed929f73a960582,17000000,19824417,1135209653651,22484,703,39.71%,3.81%,0.05%,24,24,24,23
0x000000000022d473030f116ddee9f6b43ac78ba3,17000000,19824417,1099327376341,9152,286,53.18%,2.60%,0.02%,3,3,4,4
0x0de8bf93da2f7eecb3d9169422413a9bef4ef628,17000002,19824352,852565550286,3821,120,33.03%,4.08%,0.08%,5,7,7,6
0x0a252663dbcc0b073063d6420a40319e438cfa59,17000008,19823890,816193850412,16053,502,42.04%,3.35%,0.27%,47,50,50,47
0x881d40237659c251811cec9c364ef91dc08d300c,17000000,19824416,815932531394,8320,260,51.91%,2.02%,0.04%,6,5,5,5
0xdef1c0ded9bec7f1a1670819833240f027b25eff,17000000,19824415,717785082588,1229,39,52.64%,3.25%,0,0,0,0,0
0x000000000000ad05ccc4f10045630fb830b95127,17000000,19824416,654061048472,676,22,44.82%,4.44%,0,0,0,0,0
0xc36442b4a4522e871399cd717abdd847ab11fe88,17000000,19824415,522241083050,24384,762,38.00%,2.99%,0.08%,33,33,31,30
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,17000010,19824416,506742954260,9978,312,53.54%,3.17%,0.06%,14,13,13,12
0x00000000000000adc04c56bf30ac9d3c0aaf14dc,17129530,19824409,505046916957,24367,762,42.85%,4.30%,0.12%,40,45,43,40
0x00669df67e4827fcc0e48a1838a8d5ab79281909,17000011,19824416,426155719956,1035,33,50.82%,3.96%,0.10%,2,2,2,2
0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,17000000,19824417,410961642944,13859,434,53.35%,2.19%,0.04%,9,8,8,8
0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf,17000000,19791872,396533927404,21483,672,56.54%,1.57%,0.06%,20,18,17,18
0x0085d2a95873fbc951e28a8ae1d2f26bc60670dd,17000001,19824416,360145344562,2141,67,44.89%,4.34%,0.28%,7,8,7,6
0x3db52ce065f728011ac6732222270b3f2360d919,17000009,18715213,346045236012,2531,80,40.70%,4.54%,0.08%,3,3,3,2
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,17000001,19824416,343997987090,24497,766,46.23%,3.43%,0.05%,21,20,22,22
0x6774bcbd5cecef1336b5300fb5186a12ddd8b367,18306961,19824417,335665452324,2206,69,43.20%,4.31%,0.05%,3,3,3,2
0x00000000005bbb0ef59571e58418f9a4357b68a0,18833397,19824131,334936944486,6737,211,69.53%,3.00%,0.03%,6,5,5,4
0x0000006c517ed32ff128b33f137bb4ac31b0c6dd,17000004,19824417,308206315341,2112,66,45.31%,4.12%,0.28%,7,8,7,6
0x29469395eaf6f95920e59f858042f0e28d98a20b,17163339,19824416,304866380688,658,21,37.84%,4.86%,0,0,0,0,0
0x5f6ae08b8aeb7078cf2f96afb089d7c9f51da47d,17603911,19824417,301617682554,792,25,51.01%,4.04%,0,0,0,0,0
0x000000074993852abcd2f61c0f152c7898fdc2ba,17000000,19824415,296373485400,3190,100,53.26%,3.10%,0,0,0,0,0
0x34460c0eb5074c29a9f6fe13b8e7e23a0d08af01,17000002,19824365,267196488701,3426,108,30.06%,3.15%,0,0,0,0,0
0xa88800cd213da5ae406ce248380802bd53b47647,17000000,19824417,255656688761,4419,139,51.96%,3.10%,0.16%,7,7,7,8
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,17000001,19824415,252044383744,18652,583,54.20%,3.00%,0.03%,11,13,12,10
0xae0ee0a63a2ce6baeeffe56e7714fb4efe48d419,17000000,19824381,245646723604,6150,193,37.14%,2.65%,0.03%,5,5,5,5
0x5fa60726e62c50af45ff2f6280c468da438a7837,17628505,19824417,241985316995,23811,745,47.87%,3.04%,0.09%,33,35,34,36
0xe592427a0aece92de3edee1f18e0157c05861564,17000014,19824416,241833424227,12070,378,47.75%,3.13%,0,0,0,0,0
0xf9b30557afcf76ea82c04015d80057fa2147dfa9,17000002,19824409,209829874134,3094,97,57.85%,3.17%,0,0,0,0,0
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,17000001,19824416,202606918271,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0x4d73adb72bc3dd368966edd0f0b2148401a178e2,17000002,19824415,183479526441,22613,707,49.85%,2.80%,0.11%,39,38,41,39
0x0b9857ae2d4a3dbe74ffe1d7df045bb7f96e4840,17000003,19824410,169178988410,2147,68,44.29%,4.24%,0.28%,9,8,7,6
0x66a71dcef29a0ffbdbe3c6a460a3b5bc225cd675,17000002,19824415,166271609781,15282,478,46.17%,2.00%,0.01%,2,2,3,2
0x02fe72b2e9ff717ebf3049333b184e9cd984f257,17000007,19824417,159031678976,680,22,40.88%,4.56%,0,0,0,0,0
0x0000000000a9a823cf72cf7818fb32f38c66dde3,17000004,19824417,154652918323,171,6,60.82%,1.17%,0,0,0,0,0
0x11b815efb8f581194ae79006d24e0d814b7697f6,17000004,19824415,153275930591,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0x69f4d1788e39c87893c980c06edf4b7f686e2938,17000001,19824417,152718276598,22958,718,52.07%,1.81%,0.05%,25,23,22,21
0x253553366da8546fc250f225fe3d25d0c782303b,17001255,19824417,150648199036,7633,239,41.20%,3.63%,0.01%,2,2,2,2
0x8731d54e9d02c286767d56ac03e8037c07e01e98,17000008,19824404,147467899092,20911,654,30.40%,3.54%,0.05%,17,18,18,18
0x389a081bcf20e5803288183b929f08458f1d863d,17000009,17926704,145766603208,9728,304,32.64%,3.39%,0.04%,9,8,8,7
0x3caca7b48d0573d793d3b0279b5f0029180e83b6,17000046,19824390,137120369428,5483,172,39.30%,2.54%,0,0,0,0,0
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,17000058,19824408,127858092217,3435,108,50.77%,3.41%,0.09%,6,5,5,5
0x638a98bbb92a7582d07c52ff407d49664dc8b3ee,17000007,19818434,127321130934,6674,209,48.37%,2.46%,0,0,0,0,0
0xb258ca5559b11cd702f363796522b04d7722ea56,17628739,19824416,122116401168,24025,751,38.01%,3.47%,0.17%,62,67,66,71
0x902f09715b6303d4173037652fa7377e5b98089e,17000002,19824415,120440078064,1554,49,57.34%,3.47%,0.06%,3,3,3,2
0x025801923b2940b7b84d81722b00267c379d6a38,17000173,19824416,120119760604,2739,86,60.06%,3.29%,0.04%,3,3,3,2
0x3ee18b2214aff97000d974cf647e7c347e8fa585,17000003,19824416,117764327622,680,22,41.03%,4.56%,0,0,0,0,0
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,17000010,19824416,117597574878,5176,162,57.44%,1.85%,0.04%,2,3,3,2
0x006efb1f0611f693560ce96e39b9c675b0f35c39,17126929,19824290,116337428368,231,8,63.20%,1.30%,0.87%,3,3,3,3
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,17000000,19824417,116136188592,4582,144,36.29%,3.14%,0.31%,14,17,17,16
0x455603ad9ae671f6c1f0f746f24d7904ca603581,17000000,19211786,114773545689,9793,307,36.50%,2.95%,0.03%,7,8,7,7
0x00397adbce6906dfdd91f747ce2cb62ab8ab73ad,17000003,19824416,111982707264,843,27,54.69%,3.56%,0,0,0,0,0
0xc662c410c0ecf747543f5ba90660f6abebd9c8c4,17000000,19824412,111228738227,6151,193,37.03%,2.65%,0.02%,2,3,3,2
0x317625234562b1526ea2fac4030ea499c5291de4,17000002,19824411,109378861295,2491,78,43.03%,3.53%,0.04%,3,3,3,2
0x9008d19f58aabd9ed0d60971565aa8510560ab41,17000007,19824415,107820404350,16165,506,48.67%,2.99%,0.04%,13,13,12,13
0x6b175474e89094c44da98b954eedeac495271d0f,17000004,19824417,106991475710,7904,247,55.68%,1.64%,0.08%,7,7,6,5
0x0018fb451a46ae397b8569936bc5bb5ff03cfd18,17000008,19824417,106630523187,9079,284,33.00%,3.00%,0.12%,17,19,18,16
0xba12222222228d8ba445958a75a0704d566bf2c8,17000006,19824415,104274527086,24512,766,31.68%,5.01%,0.10%,44,48,52,49
0x296f55f8fb28e498b858d0bcda06d955b2cb3f97,17000008,19824404,101767804117,12141,380,32.99%,3.81%,0.04%,10,9,9,12
0x3c11f6265ddec22f4d049dde480615735f451646,17181196,19824417,101168292808,7222,226,53.77%,2.70%,0.01%,3,3,3,3
0x3a23f943181408eac424116af7b7790c94cb97a5,17000914,19824404,98279803466,24305,760,59.98%,2.76%,0.21%,75,84,80,92
