example address,earliest block,latest block,gas used,code length,code chunks,push bytes,PUSH1 zeros,jumpdests,invalid jumpdests,scheme f11,scheme f10,scheme f9,scheme f8
total,52029,19759709,179861783901613,10635333,332355,40.42%,1.82%,3.11%,0.07%,12897,12723,12601,11844
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4753408,19759709,14946073640548,3124,98,49.52%,2.21%,2.05%,0.16%,9,8,8,7
0x00001bea43608c5ee487f82b773af8bd7cb20a6f,10008355,19759709,13147711796412,11293,353,52.43%,1.30%,2.33%,0.03%,5,4,4,3
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,10208463,19759709,11636690698027,21943,686,49.76%,1.59%,2.13%,0.00%,2,2,3,2
0xdac17f958d2ee523a2206206994597c13d831ec7,4634841,19759709,6706639967538,11075,347,55.75%,2.27%,2.13%,0.05%,11,10,11,9
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,13812249,19759680,6645585050697,24497,766,46.23%,1.71%,3.43%,0.05%,21,20,21,19
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6082473,19759709,6164693784062,2186,69,61.39%,1.05%,3.16%,0.14%,6,5,5,5
0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,17217877,19759709,4608589887503,17958,562,52.93%,0.61%,2.90%,0.05%,21,20,21,18
0x06450dee7fd2fb8e39061434babcfc05599a6fb8,15704886,19759706,2877882006927,10386,325,39.75%,1.63%,3.60%,0.16%,21,20,22,22
0x000000000000ad05ccc4f10045630fb830b95127,15779873,19759708,2694632569026,676,22,44.82%,2.22%,4.44%,0,0,0,0,0
0x32400084c286cf3e17e7b677ea9583e60a000324,16626309,19759709,2515824678276,4247,133,29.20%,1.93%,2.45%,0,0,0,0,0
0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,5774764,19756360,2424111330593,19702,616,22.62%,1.24%,2.40%,0.02%,6,5,6,5
0x881d40237659c251811cec9c364ef91dc08d300c,11041752,19759709,2371257047300,8320,260,51.91%,1.26%,2.02%,0.04%,6,5,5,4
0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,16076667,19759475,2052638521789,17465,546,53.01%,0.43%,3.90%,0.02%,10,10,9,8
0x0de8bf93da2f7eecb3d9169422413a9bef4ef628,15741941,19759632,2022986389077,3821,120,33.03%,3.09%,4.08%,0.08%,5,7,7,6
0x00000000006c3852cbef3e08e8df289169ede581,14946565,19758686,2004106847212,24446,764,41.25%,0.64%,4.36%,0.07%,28,28,29,26
0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf,12254700,19032405,1835613041209,21483,672,56.54%,0.74%,1.57%,0.06%,20,18,17,17
0xdef1c0ded9bec7f1a1670819833240f027b25eff,10247094,19759709,1787256600773,1229,39,52.64%,1.55%,3.25%,0,0,0,0,0
0xe592427a0aece92de3edee1f18e0157c05861564,12369879,19759708,1777393271264,12070,378,47.75%,1.55%,3.13%,0,0,0,0,0
0x105ee568dab631b8ff84f328bc48e95387dffb4f,11380288,19759703,1506976007028,2261,71,58.29%,1.59%,3.49%,0.09%,5,4,4,3
0x1111111254eeb25477b68fb85ed929f73a960582,15894759,19759709,1465393535467,22484,703,39.71%,2.47%,3.81%,0.05%,24,24,24,21
0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,9380559,19759708,1463904316034,9394,294,44.88%,2.32%,2.35%,0.03%,6,7,6,6
0x7f268357a8c2552623316e2562d90e642bb538e5,14121427,19621840,1405557162181,21740,680,23.23%,1.23%,2.28%,0.02%,9,9,8,10
0xc36442b4a4522e871399cd717abdd847ab11fe88,12369739,19759706,1342865260663,24384,762,38.00%,1.71%,2.99%,0.08%,33,33,31,29
0x008586b7f6768edc269d9e5cd276316d33cece6d,12381522,19759708,1307058228833,2141,67,44.89%,1.54%,4.34%,0.28%,7,8,7,6
0x000042ce27f2a2f45396f35622da3a8c2085944a,17287155,19759709,1301156549177,2227,70,43.15%,1.98%,4.27%,0.04%,3,3,3,2
0x000000000022d473030f116ddee9f6b43ac78ba3,15986851,19759709,1254644448432,9152,286,53.18%,0.35%,2.60%,0.02%,3,3,4,4
0x000000074993852abcd2f61c0f152c7898fdc2ba,14947452,19759708,1225667031088,3190,100,53.26%,1.10%,3.10%,0,0,0,0,0
0x0a252663dbcc0b073063d6420a40319e438cfa59,16295599,19759583,1218032121444,16053,502,42.04%,1.74%,3.35%,0.27%,47,50,50,47
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,13049313,19759708,1134582690004,9978,312,53.54%,1.46%,3.17%,0.06%,14,13,13,12
0x00040a7ebfc9f6fbce4d23bd66b79a603ba1c323,10794352,19759703,975096238551,9079,284,33.00%,1.74%,3.00%,0.12%,17,19,18,16
0x6b175474e89094c44da98b954eedeac495271d0f,8928158,19759709,940054450490,7904,247,55.68%,1.68%,1.64%,0.08%,7,7,6,5
0x06012c8cf97bead5deae237070f9587f8e7a266d,4605169,19759238,923972706427,12435,389,34.80%,2.48%,3.35%,0.05%,10,10,11,9
0x1111111254fb6c44bac0bed2854e76f90643097d,13569229,19759684,903156725794,21203,663,56.09%,1.31%,2.85%,0.08%,21,22,23,22
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,4317164,19754887,838060772274,7325,229,29.57%,2.29%,3.86%,0.03%,3,3,3,3
0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,10008355,19759709,817377210796,13859,434,53.35%,1.24%,2.19%,0.04%,9,8,7,6
0x5acc84a3e955bdd76467d3348077d003f00ffb97,9391531,19417244,769396217679,11242,352,24.02%,1.64%,2.01%,0.09%,14,13,13,13
0x317625234562b1526ea2fac4030ea499c5291de4,10926837,19759709,742034256794,2491,78,43.03%,1.89%,3.53%,0.04%,3,3,3,2
0x34460c0eb5074c29a9f6fe13b8e7e23a0d08af01,10269890,19759704,739842687335,3426,108,30.06%,1.75%,3.15%,0,0,0,0,0
0xa5409ec958c83c3f309868babaca7c86dcb077c1,5774681,19759691,737402930628,3705,116,35.87%,2.46%,3.51%,0.11%,9,8,7,8
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,12376729,19759708,711361948445,22142,692,33.21%,1.43%,2.96%,0.04%,17,15,16,15
0x00669df67e4827fcc0e48a1838a8d5ab79281909,8915601,19759709,704119209855,1035,33,50.82%,2.61%,3.96%,0.10%,2,2,2,2
0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d,8314598,19759632,674437664728,4160,130,40.70%,2.16%,2.55%,0.05%,5,4,4,4
0x009686891d191b4e70e73573cd258f0fc9eb651c,9115700,19759080,648711880159,2428,76,42.13%,1.89%,3.54%,0.04%,3,3,3,2
0x01eacc3ae59ee7fbbc191d63e8e1ccfdac11628c,8235079,10010044,639140268724,23977,750,39.33%,1.92%,1.43%,0.06%,27,25,25,23
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,10794352,19759651,631975717252,17762,556,33.39%,2.15%,2.61%,0.03%,13,12,11,10
0x11111112542d85b3ef69ae05771c2dccff4faa26,12038871,19752925,609898894535,12200,382,56.51%,1.16%,2.89%,0.03%,7,7,6,5
0x00046d63e476dde0274812d2eec2051bb32d182f,15982258,19759660,608331407300,843,27,54.69%,1.78%,3.56%,0,0,0,0,0
0xf9b30557afcf76ea82c04015d80057fa2147dfa9,11641711,19759701,598959403023,3094,97,57.85%,1.55%,3.17%,0,0,0,0,0
0x4161d3e2024d9773c18ef63e2d93d1d752c0486b,13450821,14527657,591533070554,22317,698,27.51%,2.07%,3.66%,0.05%,22,22,21,19
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,10861766,19759708,566139080252,12567,393,57.68%,1.15%,2.94%,0.09%,14,14,14,12
0x00002c65ba1e64d2fd8c6ffb7160fd6bde9e17dd,5834717,19759630,520321669332,2172,68,31.40%,2.16%,2.81%,0.05%,2,2,2,2
